order,beat,name_bilingual,name_en,phase,status,claim,key_metric,key_value,value_kind,evidence,note
0,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",sweep_frames,248,measured,a2_trace_summary:raw_trace.frames,
1,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",sweep_transitions,247,measured,a2_trace_summary:raw_trace.transitions,
2,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",sweep_coverage,220/220,measured,a2_trace_summary:raw_trace.coverage,
3,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",sweep_proposes_a_jump,true,measured,a2_loop_ledger:beats[M0].detail.sweep_proposes_a_jump,
4,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_frames,184,measured,a2_trace_summary:history_trace.frames,
5,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_transitions,183,measured,a2_trace_summary:history_trace.transitions,
6,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_coverage,163/164,measured,a2_trace_summary:history_trace.coverage,
7,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_proposes_a_jump,false,measured,a2_loop_ledger:beats[M0].detail.history_proposes_a_jump,"false is measured, not absent: the miner ran on the history and returned no jump rule"
8,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_portal_transitions,[],absent-by-construction,a2_trace_summary:history_trace.portal_transitions,"empty because the history is cut at transition 183, before the teleport -- absence by construction, not a measured 0"
9,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_win_frames,[],absent-by-construction,a2_trace_summary:history_trace.win_frames,same cut; the history never reaches a win
10,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",history_omitted_pairs,"cart=(6,4) pressed=1 act=DOWN",measured,a2_trace_summary:history_omitted_pairs[0],the single pair whose absence is the hole
11,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",plan_status,SAT,measured,a2_loop_ledger:beats[M0].detail.plan,
12,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",plan_length,18,measured,a2_loop_ledger:beats[M0].detail.plan_length,
13,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",rules_proposed_from_sweep,23,measured,a2_engines_diff:candidates.jsonl.rules_proposed,
14,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",rules_with_a_jump_effect_from_sweep,1,measured,a2_engines_diff:candidates.jsonl.rules_with_a_jump_effect,
15,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",rules_proposed_from_history,22,measured,a2_engines_diff:candidates_history.jsonl.rules_proposed,
16,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",rules_with_a_jump_effect_from_history,0,real-zero,a2_engines_diff:candidates_history.jsonl.rules_with_a_jump_effect,"a measured zero: the miner ran on the history and proposed no jump rule. This is the hole -- the manual is false of the world because its evidence never showed the teleport, not because a rule was removed to order"
17,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",rules_only_in_the_sweep,obj1_jump_DOWN,measured,a2_engines_diff: set(candidates.jsonl.rules_proposed) - set(candidates_history.jsonl.rules_proposed),"the two rule sets are exactly one rule apart, both ways; asserted in extract(), so a changed miner stops the build rather than redrawing 'the hole' as something else"
18,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",shared_rules,22,measured,a2_engines_diff: set intersection of the two rules_proposed lists,
19,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",missing_rule_guard,"act==DOWN, tcolor(DOWN)==3",measured,a2_engines_diff:candidates.jsonl.rules_with_a_jump_effect[0].guard,
20,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",missing_rule_coverage,1/1,measured,a2_engines_diff:candidates.jsonl.rules_with_a_jump_effect[0].coverage,"one witness, and the history is cut before it"
21,M0,仪器 · the complete manual,the complete manual,prelude,pass,"the pipeline induces a complete manual from the sweep, and it is certified, provable and solvable",missing_rule_transition,183,measured,a2_engines_diff:candidates.jsonl.rules_with_a_jump_effect[0].transitions[0],the same transition the history is cut at -- see history_portal_transitions
22,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_frames,184,measured,a2_exhibit_report:certify_cheap.frames,
23,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_transitions,183,measured,a2_exhibit_report:certify_cheap.transitions,
24,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_pixels_checked,14904,measured,a2_exhibit_report:certify_cheap.pixels_checked,
25,M5,展品 · the theorem that is false of the world,the theorem that is false of the world,prelude,pass,"the holed manual replays the play record at 100%, its planner returns UNSAT, and Lean signs an axiom-free `unsolvable` — which the world contradicts",replay_pixels_unexplained,0,real-zero,a2_exhibit_report:certify_cheap.pixels_unexplained,a checked zero over 14904 pixels
