section,line,l1_cold_start,l2_from_scratch,l2_transfer,ratio_transfer_over_from_scratch,saved,panel,value_state,source_key,note
like_for_like_level_2,world_frames,348,347,11,0.031700,336,A,value,a3_bill_table,l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,world_actions,347,346,10,0.028902,336,A,value,a3_bill_table,l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,candidates_adjudicated,41,35,0,0.000000,35,A,real-zero,a3_bill_table,l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,dsl_clauses_written,23,33,0,0.000000,33,A,real-zero,a3_bill_table,l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,theorize_rounds,1,5,0,0.000000,5,A,real-zero,a3_bill_table,"2 of the control arm's 5 rounds went to toolchain conformance rather than to the world (40% of its adjudication budget, read from A3_REPORT.md), so 'saved' overstates transfer by 2 rounds. l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it."
like_for_like_level_2,engine_stages,1,1,0,0.000000,1,A,real-zero,a3_bill_table,l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,compile_runs,1,1,1,1.000000,0,A,value,a3_bill_table,NO SAVING AT ALL on this line; drawn because its flatness is part of the result. l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,certify_runs,3,3,3,1.000000,0,A,value,a3_bill_table,NO SAVING AT ALL on this line; drawn because its flatness is part of the result. l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
like_for_like_level_2,plan_runs,1,1,1,1.000000,0,A,value,a3_bill_table,NO SAVING AT ALL on this line; drawn because its flatness is part of the result. l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,world_frames,333,337,1,0.002967,336,B,value,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,world_actions,332,336,0,0.000000,336,B,real-zero,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,candidates_adjudicated,41,35,0,0.000000,35,,real-zero,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,dsl_clauses_written,23,33,0,0.000000,33,,real-zero,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,theorize_rounds,1,5,0,0.000000,5,,real-zero,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,engine_stages,1,1,0,0.000000,1,,real-zero,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,compile_runs,1,1,1,1.000000,0,,value,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,certify_runs,2,2,1,0.500000,1,,value,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
cost_to_first_plan,plan_runs,1,1,1,1.000000,0,,value,a3_bill_table,snapshot at the instant a plan first existed. ratio and saved are DERIVED HERE (the source publishes this block as raw columns only). l1_cold_start is a DIFFERENT LEVEL; bill_table.note: ratios against it compare across levels. No ratio here is taken against it.
score_vs_truth,a3-l1:accuracy,1.0000,,,,,C,value,a3_score_vs_truth,the manual on the level it was induced from
score_vs_truth,a3-l1:pairs_checked,248,,,,,C,value,a3_score_vs_truth,the manual on the level it was induced from
score_vs_truth,a3-l1:pairs_correct,248,,,,,C,value,a3_score_vs_truth,the manual on the level it was induced from
score_vs_truth,a3-l1:mismatches,0,,,,,C,value,a3_score_vs_truth,the manual on the level it was induced from
score_vs_truth,a3-l2:accuracy,,1.0000,,,,C,value,a3_score_vs_truth,"the control arm's manual, induced from level 2's own sweep"
score_vs_truth,a3-l2:pairs_checked,,252,,,,C,value,a3_score_vs_truth,"the control arm's manual, induced from level 2's own sweep"
score_vs_truth,a3-l2:pairs_correct,,252,,,,C,value,a3_score_vs_truth,"the control arm's manual, induced from level 2's own sweep"
score_vs_truth,a3-l2:mismatches,,0,,,,C,value,a3_score_vs_truth,"the control arm's manual, induced from level 2's own sweep"
score_vs_truth,a3-l2:accuracy,,,1.0000,,,C,value,a3_score_vs_truth,"THE CARRIED MANUAL on a level it never explored; the level was never explored, so this is the accuracy of TRANSFER rather than of induction"
score_vs_truth,a3-l2:pairs_checked,,,252,,,C,value,a3_score_vs_truth,"THE CARRIED MANUAL on a level it never explored; the level was never explored, so this is the accuracy of TRANSFER rather than of induction"
score_vs_truth,a3-l2:pairs_correct,,,252,,,C,value,a3_score_vs_truth,"THE CARRIED MANUAL on a level it never explored; the level was never explored, so this is the accuracy of TRANSFER rather than of induction"
score_vs_truth,a3-l2:mismatches,,,0,,,C,value,a3_score_vs_truth,"THE CARRIED MANUAL on a level it never explored; the level was never explored, so this is the accuracy of TRANSFER rather than of induction"
negative_controls,l2_negctl_oneway:static_certify_green,,,true,,,D,value,a3_negative_controls,the portal's B -> exit_b leg is deleted
negative_controls,l2_negctl_oneway:replay_certify_green,,,false,,,D,value,a3_negative_controls,the portal's B -> exit_b leg is deleted
