family,metric,tier,direction,arm,n_runs,median,normalised,status,note
economy,E1,reference,neutral,bare_cc,78,0.759744,0.5000,ok,"runs: ok=78, not-applicable=2; row has no spread across arms; normalised fixed at 0.5; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
economy,E1,reference,neutral,schema_repro,0,,,not-applicable,"runs: not-applicable=8; reason: no model call carries a cost; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
economy,E1,reference,neutral,theoria_a0,0,,,not-applicable,"runs: not-applicable=2; reason: the run records no model calls; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit"
economy,E1,reference,neutral,theoria_a0_spike,0,,,not-applicable,"runs: not-applicable=1; reason: the run records no model calls; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit"
economy,E1,reference,neutral,theoria_a2,0,,,not-applicable,"runs: not-applicable=4; reason: the run records no model calls; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit"
economy,E2,main,higher,bare_cc,67,0.229020,0.5000,ok,"runs: ok=67, insufficient-data=11, not-applicable=2; row has no spread across arms; normalised fixed at 0.5; no cross-arm contrast; control arm"
economy,E2,main,higher,schema_repro,0,,,not-applicable,runs: not-applicable=8; reason: no model call carries a cost; no cross-arm contrast; control arm
economy,E2,main,higher,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast
economy,E2,main,higher,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no model calls; no cross-arm contrast
economy,E2,main,higher,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast
economy,E3,main,lower,bare_cc,67,0.914286,0.5000,ok,"runs: ok=67, insufficient-data=11, not-applicable=2; row has no spread across arms; normalised fixed at 0.5; no cross-arm contrast; control arm"
economy,E3,main,lower,schema_repro,0,,,not-applicable,runs: not-applicable=8; reason: no model call carries a cost; no cross-arm contrast; control arm
economy,E3,main,lower,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast
economy,E3,main,lower,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no model calls; no cross-arm contrast
economy,E3,main,lower,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast
economy,E4,reference,lower,bare_cc,70,0.200474,0.0000,ok,"runs: ok=70, insufficient-data=8, not-applicable=2; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
economy,E4,reference,lower,schema_repro,4,0.053614,1.0000,ok,"runs: ok=4, not-applicable=4; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
economy,E4,reference,lower,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E4,reference,lower,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E4,reference,lower,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E5,reference,lower,bare_cc,78,0.033513,0.5000,ok,"runs: ok=78, not-applicable=2; row has no spread across arms; normalised fixed at 0.5; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
economy,E5,reference,lower,schema_repro,0,,,not-applicable,runs: not-applicable=8; reason: no model call carries a cost; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm
economy,E5,reference,lower,theoria_a0,0,,,not-applicable,runs: not-applicable=2; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E5,reference,lower,theoria_a0_spike,0,,,not-applicable,runs: not-applicable=1; reason: the run records no environment steps; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E5,reference,lower,theoria_a2,0,,,not-applicable,runs: not-applicable=4; reason: the run records no model calls; no cross-arm contrast; demoted to reference tier by the gaming audit
economy,E6,reference,neutral,bare_cc,76,6.660920,0.5000,ok,"runs: ok=76, not-applicable=4; row has no spread across arms; normalised fixed at 0.5; neutral: not oriented, support rather than a ranking; no cross-arm contrast; demoted to reference tier by the gaming audit; control arm"
